stream,emoji_1,freq_1,emoji_2,freq_2,emoji_3,freq_3,emoji_4,freq_4,emoji_5,freq_5,emoji_6,freq_6,emoji_7,freq_7,emoji_8,freq_8,emoji_9,freq_9,emoji_10,freq_10
REAL MADRID VS BARCELONA _ EL CLASICO LIVE REACTION!_chat_log.csv,😂,577,😭,181,💩,88,🔥,56,🙏,55,💕,48,😄,38,😮,33.0,🍌,26.0,✅,18.0
REAL MADRID VS FC BARCELONA EN DIRECTO _ EL CLÁSICO _ LALIGA _ Tiempo de Juego COPE _ EN VIVO_chat_log.csv,😂,299,❤,236,💙,202,🇦,152,🏳,118,🌎,105,🇲,103,🐁,81.0,🇪,80.0,⚪,70.0
Real Madrid vs Barcelona El Clasico Watchalong LaLiga LIVE _ TFHD_chat_log.csv,❤,367,😭,356,😂,341,💙,196,💔,116,😊,95,🚨,72,🙏,64.0,🔥,61.0,🏻,57.0
Real Madrid vs Barcelona _ La Liga LIVE WATCHALONG_chat_log.csv,😭,676,😂,484,🔥,260,🇵,229,💙,225,❤,212,🇳,144,♥,138.0,🇰,125.0,💀,120.0
Real Madrid vs Barcelona _EL CLASICO_ Laliga 2025 Live Reaction_chat_log.csv,❤,1215,😂,354,👏,195,😭,119,🔥,117,💀,116,💪,115,🇧,95.0,🇩,95.0,🔝,89.0
⏱️ MINUTO A MINUTO _ Real Madrid vs Barcelona _ El Clásico_chat_log.csv,🐱,335,🇿,185,🇺,171,❤,167,🇷,155,🔥,150,💜,147,💩,122.0,👤,100.0,🏍,99.0
⚽️ REAL MADRID vs FC BARCELONA _ #LaLiga 25_26 - Jornada 10 _ 'EL CLÁSICO' EN DIRECTO_chat_log.csv,❤,569,💙,534,😂,341,🏆,292,⚪,183,🏻,93,⚽,87,💪,78.0,🐱,71.0,😭,70.0
【LIVE分析】レアルマドリードvsバルセロナ　▷ラ・リーガ｜第10節　エルクラシコ_chat_log.csv,📝,49,😎,45,🎙,12,🍀,11,🙇,7,♂,7,👍,7,,,,,,
【エルクラシコ】レアルマドリード×バルセロナ 0_15キックオフ リアルタイム戦術分析_chat_log.csv,😭,50,❤,34,😂,21,😅,10,☺,10,😘,10,💕,10,😁,8.0,✌,7.0,,
🔴 REAL MADRID - BARCELONE LIVE _ 🚨LE CLASICO POUR LA 1ERE PLACE ! _ 🔥PLACE AU SPECTACLE ! _ LIGA_chat_log.csv,😂,277,❤,246,💙,173,😭,113,🔥,79,💛,70,⚽,55,👍,54.0,💪,42.0,♥,36.0
