broadcaster,country,language,region,total_comments,emoji_rate,emoji_diversity,top_emojis,total_emojis,laugh_rate,laugh_mean_length,laugh_total_count,exclamation_rate,caps_rate,question_rate,mean_length,std_length,median_length
Spain_1,Spain,Spanish,Europe,3780,1.4007936507936507,262,"[('🤍', 1345), ('🐱', 335), ('🇺🇿', 167), ('💜', 147), ('🔥', 137)]",5295,0.0026455026455026454,4.0,21,0.06851851851851852,0.30343915343915345,0.016137566137566138,26.58809523809524,55.249596384088505,11.0
Spain_2,Spain,Spanish,Europe,5935,1.120977253580455,194,"[('🤍', 1684), ('❤️', 547), ('💙', 534), ('🤣', 460), ('🦝', 369)]",6653,0.040606571187868576,4.040650406504065,492,0.14018534119629317,1.5324347093513058,0.10345408593091829,50.722830665543384,51.99789227865765,31.0
Japan_1,Japan,Japanese,Asia,4852,0.03730420445177247,11,"[('😭', 50), ('❤️', 34), ('😂', 21), ('🤣', 14), ('😅', 10)]",181,0.04781533388293487,1.6206896551724137,232,0.004328112118713932,0.0,0.001236603462489695,15.700123660346248,11.559397841921,13.0
Japan_2,Japan,Japanese,Asia,4424,0.031193490054249547,7,"[('📝', 49), ('😎', 45), ('🎙️', 12), ('🍀', 11), ('🙇', 7)]",138,0.04385171790235081,1.1546391752577319,194,0.0,0.004294755877034358,0.0,16.46903254972875,11.462137504441777,14.0
UK_1,UK,English,Europe,4286,1.6257582827811479,160,"[('🤍', 2682), ('❤', 623), ('❤️', 577), ('😂', 354), ('🤣', 217)]",6968,0.007466168922071862,3.6097560975609757,41,0.03196453569762016,0.2272515165655623,0.15002333177788146,25.85790947270182,34.74053706083216,16.0
UK_2,UK,English,Europe,4125,1.8986666666666667,203,"[('🤍', 2263), ('🤣', 713), ('😭', 676), ('😂', 484), ('🤡', 230)]",7832,0.009939393939393939,3.8095238095238093,63,0.06206060606060606,0.3956363636363636,0.12654545454545454,34.865212121212124,58.45370518974438,17.0
UK_3,UK,English,Europe,4672,0.6040239726027398,115,"[('🤣', 1051), ('😂', 577), ('😭', 181), ('🤡', 124), ('🥺', 96)]",2822,0.021190068493150686,3.7421875,128,0.05586472602739726,0.2964469178082192,0.1053082191780822,30.262842465753426,41.12673370791841,16.0
UK_4,UK,English,Europe,6568,0.7233556638246041,183,"[('🤍', 1263), ('😭', 356), ('😂', 341), ('🤣', 322), ('💙', 196)]",4751,0.010200974421437272,3.663157894736842,95,0.048721071863580996,0.37256394640682094,0.22289890377588306,49.568209500609015,51.895612574356235,31.0
France,France,French,Europe,3914,0.8944813490035769,159,"[('🤍', 993), ('🤣', 423), ('😂', 277), ('❤️', 216), ('💙', 173)]",3501,0.010219724067450179,3.025,40,0.11241696474195197,0.26341338783852836,0.058763413387838526,36.941492079713846,63.82391784381179,16.0
Japan_Baseball,Japan,Japanese,Asia,12301,0.3814324038696041,253,"[('👏', 929), ('✨', 271), ('🙏', 231), ('👍', 222), ('❗', 196)]",4692,0.01845378424518332,1.8521739130434782,230,0.011950247947321356,0.005284123242012845,0.0057718884643524915,11.748069262661572,14.67330123649396,9.0
US_Baseball,USA,English,North America,11051,0.4148040901275903,60,"[('👏', 787), ('🤣', 362), ('🔥', 203), ('😂', 198), ('👍', 165)]",4584,0.029318613700117638,3.0,324,0.3072120170120351,0.20776400325762376,0.04696407564926251,31.047778481585375,27.12107797629884,24.0
Dominican_Baseball,Dominican,Spanish,Latin America,14122,1.4263560402209319,137,"[('💙', 13748), ('💪', 729), ('🇻🇪', 710), ('🏆', 286), ('🥶', 245)]",20143,0.0007789264976632205,3.357142857142857,28,0.1299391021101827,0.12158334513524996,0.016994759949015722,27.499291885002123,28.46798515016552,20.0
