broadcaster,total_comments,exclamation_rate,question_rate,laugh_w_rate,laugh_lol_rate,caps_rate,repeat_rate
REAL MADRID VS BARCELONA _ EL CLASICO LIVE REACTION!_chat_log.csv,20,0.0,0.0,0.15,0.0,0.0,0.35
REAL MADRID VS FC BARCELONA EN DIRECTO _ EL CLÁSICO _ LALIGA _ Tiempo de Juego COPE _ EN VIVO_chat_log.csv,62,0.0,0.0,0.08064516129032258,0.0,0.0,0.0967741935483871
Real Madrid vs Barcelona El Clasico Watchalong LaLiga LIVE _ TFHD_chat_log.csv,55,0.0,0.0,0.34545454545454546,0.03636363636363636,0.0,0.07272727272727272
Real Madrid vs Barcelona _ La Liga LIVE WATCHALONG_chat_log.csv,38,0.0,0.0,0.07894736842105263,0.0,0.0,0.0
Real Madrid vs Barcelona _EL CLASICO_ Laliga 2025 Live Reaction_chat_log.csv,67,0.0,0.0,0.029850746268656716,0.0,0.0,0.23880597014925373
⏱️ MINUTO A MINUTO _ Real Madrid vs Barcelona _ El Clásico_chat_log.csv,29,0.0,0.0,0.2413793103448276,0.0,0.0,0.0
⚽️ REAL MADRID vs FC BARCELONA _ #LaLiga 25_26 - Jornada 10 _ 'EL CLÁSICO' EN DIRECTO_chat_log.csv,30,0.0,0.0,0.0,0.1,0.0,0.03333333333333333
【LIVE分析】レアルマドリードvsバルセロナ　▷ラ・リーガ｜第10節　エルクラシコ_chat_log.csv,46,0.0,0.0,0.0,0.0,0.0,0.0
【エルクラシコ】レアルマドリード×バルセロナ 0_15キックオフ リアルタイム戦術分析_chat_log.csv,86,0.0,0.0,0.0,0.0,0.0,0.0
🔴 REAL MADRID - BARCELONE LIVE _ 🚨LE CLASICO POUR LA 1ERE PLACE ! _ 🔥PLACE AU SPECTACLE ! _ LIGA_chat_log.csv,36,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
