w_embedding,w_topic,w_lexical,mean_score,std_score,high_quality_05_count,high_quality_07_count,mean_topic_score,objective
0.7000000000000002,0.20000000000000004,0.1,0.3519064001203399,0.1525889616588427,4,1,0.5591910682180451,0.434820267359422
0.7000000000000002,0.15000000000000002,0.15000000000000002,0.3559773251564247,0.145834039986726,4,1,0.5517573114695924,0.4342893196816918
0.7000000000000002,0.1,0.20000000000000004,0.36004825019250963,0.13936995554489306,4,1,0.5443235547211396,0.4337583720039616
0.6500000000000001,0.25000000000000006,0.1,0.3307678869471155,0.15107919327755556,3,1,0.537317030059046,0.4133875441918877
0.6500000000000001,0.20000000000000004,0.15000000000000002,0.3348388119832003,0.14405364938325793,3,1,0.5298832733105933,0.4128565965141575
0.6500000000000001,0.15000000000000002,0.20000000000000004,0.33890973701928523,0.13729612686045253,3,1,0.5224495165621404,0.4123256488364273
0.6500000000000001,0.1,0.25000000000000006,0.3429806620553701,0.1308481573891569,3,1,0.5150157598136877,0.41179470115869715
0.6000000000000002,0.30000000000000004,0.1,0.3096293737738912,0.15005237126809567,3,1,0.5154429919000469,0.39195482102435353
0.6000000000000002,0.25000000000000006,0.15000000000000002,0.313700298809976,0.1427746498609871,3,1,0.508009235151594,0.3914238733466232
0.6000000000000002,0.20000000000000004,0.20000000000000004,0.317771223846061,0.13574140287209982,3,1,0.5005754784031413,0.3908929256688931
