time_bin,emoji_count,exclamation_count,laugh_count,comment,emoji_rate,exclamation_rate,laugh_rate
0,2938,534,1223,4067,0.7223998032948119,0.13130071305630686,0.30071305630686007
1,680,36,395,1124,0.604982206405694,0.03202846975088968,0.351423487544484
2,1355,104,536,2212,0.6125678119349005,0.04701627486437613,0.2423146473779385
3,4495,156,1410,5006,0.8979224930083899,0.03116260487415102,0.2816620055932881
4,4719,216,1550,5767,0.8182764002080805,0.03745448239986128,0.26877059129530084
5,4530,288,1591,5846,0.7748888128634964,0.04926445432774547,0.2721518987341772
6,7329,490,1633,5877,1.2470648289943849,0.08337587204355965,0.2778628551982304
7,3656,323,1550,3281,1.1142944224321853,0.09844559585492228,0.47241694605303264
8,2657,147,1686,2657,1.0,0.05532555513737298,0.6345502446368084
9,721,204,1133,1532,0.4706266318537859,0.13315926892950392,0.7395561357702349
10,220,7,440,362,0.6077348066298343,0.019337016574585635,1.2154696132596685
11,10,0,0,211,0.04739336492890995,0.0,0.0
12,0,0,6,453,0.0,0.0,0.013245033112582781
13,0,0,4,53,0.0,0.0,0.07547169811320754
14,0,0,51,995,0.0,0.0,0.05125628140703518
15,0,0,0,1095,0.0,0.0,0.0
16,50,0,77,507,0.09861932938856016,0.0,0.15187376725838264
17,0,0,0,231,0.0,0.0,0.0
18,42,21,89,569,0.07381370826010544,0.03690685413005272,0.15641476274165203
19,28,0,108,711,0.03938115330520394,0.0,0.1518987341772152
