stream_1,stream_2,avg_similarity
UK_3,UK_4,0.9151628315448761
Spain_2,Spain_3,0.9111215829849243
UK_1,UK_3,0.9090682387351989
UK_1,UK_4,0.900596433877945
Spain_3,UK_3,0.9002189218997956
Spain_2,UK_4,0.8988986253738404
Spain_3,UK_4,0.8947791457176208
Spain_2,UK_3,0.8928918957710266
Spain_2,UK_2,0.8926188170909881
Spain_3,UK_1,0.8919193148612976
Spain_2,UK_1,0.8879579782485962
UK_1,UK_2,0.8875151097774505
Spain_1,UK_2,0.8845311224460601
Spain_3,UK_2,0.8824277460575104
France,Spain_1,0.8816554546356201
France,Spain_2,0.8782881379127503
France,UK_2,0.8740170419216156
UK_2,UK_3,0.8738088190555573
UK_2,UK_4,0.8735098361968994
Spain_1,UK_1,0.8715129852294922
Spain_1,Spain_2,0.8652269542217255
Japan_1,Japan_2,0.8607408940792084
Spain_1,Spain_3,0.8586716115474701
France,UK_1,0.8585761308670044
Spain_1,UK_3,0.8505625247955322
France,UK_3,0.8323740422725677
Spain_1,UK_4,0.8297178208827972
France,Spain_3,0.8296542465686798
France,UK_4,0.8285694003105164
Japan_2,UK_3,0.7098652958869934
Japan_2,Spain_2,0.6989300012588501
Japan_1,Spain_2,0.6907106280326843
Japan_2,UK_1,0.6905332088470459
Japan_1,UK_3,0.6890865802764893
Japan_2,UK_4,0.6734005630016326
Japan_2,Spain_3,0.6713472366333008
Japan_1,UK_1,0.6679361224174499
Japan_1,Spain_3,0.6618288993835449
Japan_1,UK_4,0.6490241408348083
Japan_2,UK_2,0.6458793520927429
France,Japan_2,0.6426848471164703
Japan_1,UK_2,0.6260977029800415
Japan_2,Spain_1,0.6258211195468902
France,Japan_1,0.6255374699831009
Japan_1,Spain_1,0.6160915076732636
